,Name,Mileage,Dealer Name,Rating,Review Count,Price
30,2019 Mercedes-Benz AMG E 53 Base 4MATIC,"17,384 mi.",Star Motor Cars,3.7,63 ,"$55,880"
31,2022 Mercedes-Benz AMG C 43 Base 4MATIC,"8,139 mi.",Mercedes-Benz of Kansas City,4.7,768 ,"$65,994"
32,2022 Mercedes-Benz S-Class S 580 4MATIC,"2,613 mi.",Mercedes-Benz Manhattan Inc.,3.5,466 ,"$105,900"
33,2021 Mercedes-Benz GLS 450 4MATIC,"15,027 mi.",Silver Star Motors,4.5,783 ,"$70,343"
34,2019 Mercedes-Benz E-Class E 450 4MATIC,"19,885 mi.",Silver Star Motors,4.5,783 ,"$47,796"
35,2023 Mercedes-Benz GLB 250 Base 4MATIC,616 mi.,Mercedes-Benz Of Bedford,4.7,486 ,"$45,993"
36,2022 Mercedes-Benz A-Class A 220 4MATIC,"1,776 mi.",Mercedes-Benz of Naperville,4.7,884 ,"$41,477"
37,2021 Mercedes-Benz GLE 350 Base 4MATIC,"28,256 mi.",Mercedes-Benz of Owings Mills,4.9,"2,278 ","$54,790"
38,2022 Mercedes-Benz GLE 450 AWD 4MATIC,"26,860 mi.",Mercedes-Benz of Fort Washington,4.5,"2,787 ","$71,132"
39,2022 Mercedes-Benz GLC 300 Base 4MATIC,"9,108 mi.",Mercedes-Benz of Monterey,n/a,60 ,"$44,287"
40,2020 Mercedes-Benz E-Class E 350 4MATIC,"39,315 mi.",Mercedes-Benz of Orange County NY,4.6,211 ,"$39,995"
41,2020 Mercedes-Benz AMG E 53 Base 4MATIC,"31,587 mi.",Mercedes-Benz of Tyler,4.8,256 ,"$58,954"
42,2018 Mercedes-Benz GLS 450 Base 4MATIC,"32,083 mi.",Mercedes-Benz of Lynnwood,4.4,130 ,"$48,880"
43,2021 Mercedes-Benz GLE 350 Base 4MATIC,"17,312 mi.",Mercedes-Benz of Owings Mills,4.9,"2,278 ","$55,990"
44,2019 Mercedes-Benz GLS 450 Base 4MATIC,"67,418 mi.",Mercedes-Benz of Gilbert,3.8,350 ,"$44,987"
45,2016 Mercedes-Benz CLS-Class CLS 400 4MATIC,"51,427 mi.",Mercedes-Benz of Reno,4.3,754 ,"$29,876"
46,2020 Mercedes-Benz GLE 450 AWD 4MATIC,"26,038 mi.",Fletcher Jones Motorcars of Fremont,4.7,"1,220 ","$53,481"
47,2021 Mercedes-Benz AMG E 53 Base 4MATIC,"23,456 mi.",Mercedes-Benz of Gilbert,3.8,350 ,"$69,994"
48,2023 Mercedes-Benz EQB 300 Base 4MATIC,"2,130 mi.",Mercedes-Benz of Nashville,4.4,922 ,"$53,999"
49,2023 Mercedes-Benz GLE 350 Base 4MATIC,"6,326 mi.",Mercedes-Benz of Wilmington,4.5,"1,793 ","$68,900"
50,2020 Mercedes-Benz GLC 300 4MATIC Coupe,"26,283 mi.",Mercedes-Benz of North Olmsted,4.7,"1,530 ","$46,986"
51,2022 Mercedes-Benz GLE 350 Base 4MATIC,"8,021 mi.",Mercedes-Benz of St. Charles,4.7,589 ,"$66,483"
